,Thickness,"RangeParameter [0.1, 0.9]",DistrictCooling:Facility,DistrictHeating:Facility,violation,pareto-optimal
0,0.23489117696810874,0.5253362672725334,19376270602.77497,37918201724.55255,0,False
1,0.13749305696315747,0.846948225564628,20390179499.8692,40374504708.44064,0,False
2,0.16259292329474873,0.8432265940499758,20452128695.018333,39754658483.361275,0,False
3,0.20424212703746242,0.5900301258893715,19606596993.492424,38474849521.662636,0,False
4,0.006848986540097187,0.4167408503012955,16945951712.75599,62912794132.98058,0,True
5,0.055701684431286695,0.3500441622729963,18081811787.392517,44428758893.460594,0,True
6,0.19434464772219257,0.20013430086544126,18146163963.816177,37708001797.14283,0,True
7,0.1683836580380452,0.23547077875423855,18202103786.54387,38264252749.39093,0,False
8,0.19842196572576998,0.7850036797252178,20327817694.364117,39005305966.33582,0,False
9,0.23620231991297833,0.8882928276099119,20783877750.453217,38772868943.58596,0,False
10,0.10912039199039127,0.8070163896593572,20158378919.14399,41289502833.61828,0,False
11,0.0689755538969748,0.6144950937418107,19189800312.531616,43426851404.67341,0,False
12,0.011038340388155748,0.39064849298312965,17078058838.115543,58938489760.28694,0,True
13,0.15451751787186252,0.7131137198818651,19945279160.580376,39653148829.1045,0,False
14,0.17333263594392356,0.2563942664283432,18302924488.114544,38218991274.93502,0,False
15,0.05892950468799306,0.7667794637601667,19625523152.416496,44698038192.080826,0,False
16,0.0809174858684755,0.8029417151098247,19988677014.780865,42812535982.62997,0,False
17,0.272789411739367,0.25677513145151887,18455002450.96249,36919395207.41635,0,False
18,0.2676582966875361,0.23279061953854763,18355434704.74664,36896565285.597015,0,True
19,0.0050218326532117065,0.8285901309060585,18241944492.81942,64840762891.251686,0,False
