,Wall Insulation,Roof Insulation,Ventilation Minimum Indoor Temperature,Ventilation Maximum Outdoor Temperature,Light,Window to Wall Ratio,DistrictCooling:Facility,DistrictHeating:Facility,Electricity:Facility,violation,pareto-optimal
0,0.3003006142282619,0.17449492014309964,21.80608165648259,28.673267073583652,2.9085053512798527,0.6734379343334777,21909523343.878414,80068243395.76083,107191219722.19086,0,False
1,0.32801687557202863,0.3939288909563149,22.19629242589101,29.310446840672334,2.9643101120411544,0.12542463481854238,17734145234.871758,58205899345.85687,107523442516.93777,0,True
2,0.35248519696730185,0.39738329537914674,22.143734783617298,28.52171792591418,4.466998548539114,0.4644159071012307,19296814671.29545,64290485769.614655,116469406000.99632,0,False
3,0.41807196626790777,0.2049715529510237,24.89968071217568,28.722211897291007,4.083249695227818,0.19988938380705257,9287534520.490551,61269061797.04465,114184831803.58461,0,True
4,0.4015518465126585,0.10897944646107321,24.759609049986587,29.182298726546755,2.5978614622736504,0.6161985885856425,10554834385.84019,83870289292.73953,105341861718.16446,0,True
5,0.4587341702302705,0.34728640104751723,20.27455755952228,27.248201365968974,3.0251473289347692,0.38770749056829457,36181034835.19486,65756103335.86107,107885625060.95892,0,False
6,0.2801096671925183,0.1390464304902812,23.57436298689626,29.11594065011358,2.864999794768873,0.7336099008477447,13127486603.646545,84426736869.75342,106932217848.98294,0,False
7,0.2511121041708214,0.36383321466790075,22.291313769525345,27.25398327312826,4.520938309707594,0.3272923779700595,18107884281.10578,61826921805.38764,116790525883.22327,0,False
8,0.4967308612613315,0.18783002084104786,25.315380583946578,28.169938126486326,4.7892221709199765,0.3091443323561708,9213793911.154821,63026728993.331,118387701696.5686,0,True
9,0.49522787025879433,0.4551415062970494,24.195236469620575,27.671599527989674,4.129499498926053,0.1898951367990497,10137288550.07005,55693072937.28194,114460171018.94019,0,True
10,0.29189805220196485,0.3461420229251517,22.409124920087397,27.73124685297274,2.842918040544895,0.3080527085305585,16927573771.501299,64954546271.08033,106800758417.90349,0,True
11,0.3326873223369936,0.2060359921378655,23.057996833337018,26.458076033894983,3.9889712491077423,0.2542018897678039,14008799391.562813,63661751869.16046,113623563402.33865,0,True
12,0.42443275767643995,0.49249707747021,20.20557160196093,27.64231775464297,4.7080108359095405,0.5849552489165881,37734611638.97375,65959888049.8423,117904225801.06747,0,False
13,0.20135857718977368,0.44351653245673284,21.103065142473632,27.871208476038927,2.3621906789543314,0.7464693971828731,27784713998.22442,78751978720.66711,103938841524.07317,0,False
14,0.17199923145581314,0.26555882157504274,25.275458307556974,29.760956754393792,4.047619437309772,0.5441044958463175,9583549832.055435,72269761204.8316,113972713989.59164,0,True
15,0.23203292782506676,0.44948474647964953,25.25427438637963,29.250047311080948,2.9896804465143245,0.6857200549321688,9615810770.000755,75171726495.74408,107674479871.23077,0,True
16,0.30852548273869373,0.4707004427248781,22.439543243643485,26.25860812263386,2.177921907891011,0.40443401411237656,16789835224.396593,67912893913.01435,102841833217.39676,0,True
17,0.10287662668702367,0.4343269934337525,22.54430932485253,27.861661125772898,3.8795469318549394,0.1421729009831073,16079294285.270441,62006617625.562485,112972127001.66133,0,True
18,0.22223097076459056,0.4128845242435606,23.54813579832292,29.525580802967006,4.831113449420516,0.6920004383234296,12931872442.64544,71226306855.9453,118637093279.457,0,False
19,0.19831618479705254,0.4159044796375345,23.503201724095856,27.66659017703431,2.575729935088349,0.755869051199802,12898505255.658941,78998326339.12445,105210105973.43565,0,True
