,Wall Insulation,Roof Insulation,Ventilation Minimum Indoor Temperature,Ventilation Maximum Outdoor Temperature,Light,Window to Wall Ratio,DistrictCooling:Facility,DistrictHeating:Facility,Electricity:Facility
0,0.22699508650678588,0.43178815753964306,24.736454214004674,26.957636718134705,4.74887171696021,0.5528807842080508,10103062953.95758,67302589366.58974,118147483113.04736
1,0.12279040102235016,0.305374766319774,22.899820738182953,26.806571023163066,4.98162926158586,0.5373614917060399,15392284301.284403,70798918914.4956,119533159906.90948
2,0.45214275690803907,0.1976434330039404,24.99484488113623,28.00082544954999,3.988760225739652,0.48131562671887174,9766511783.471447,69820974599.09935,113622307115.73972
3,0.24701447508591756,0.13861959201455015,25.698755616658907,27.975018058787565,2.6224717478859185,0.35399225435557946,9316032846.751572,74650762203.74597,105488374269.31757
4,0.32069001066477043,0.4449944201038877,20.523009194571657,28.78098414255006,2.441640329960894,0.5757325994831772,33517462903.747066,72440344329.3649,104411829576.32858
5,0.26663192342639336,0.4290909337081601,23.487583799516937,29.959323641369657,2.211476151003788,0.6154272622456787,12614852698.29248,74847436318.19876,103041591880.82384
6,0.2911211737459175,0.32296395771963954,21.181419431050625,27.561416240575213,3.869482440679091,0.6241045894518167,27221546065.265793,72024684221.40533,112912210009.98303
7,0.3652577816357869,0.36232223326029156,23.76447626332373,27.041380496322816,3.5181553789945266,0.7362136568351163,12187515277.72474,74928738185.8471,110820652646.22478
8,0.16238573651800775,0.3478348556369636,20.371290809510892,26.58572114823474,4.135919467251406,0.15925778121911793,34839650468.1241,59873166707.48987,114498391052.32335
9,0.42687391979472566,0.10642098184682887,22.426283321477214,29.034996512105874,4.472082658768885,0.1147583122228008,17260236678.15504,64663096884.30948,116499673262.89825
10,0.3842018251797542,0.20861430692040206,20.200568173572947,29.185907234498597,3.2412872942113338,0.8087952662695258,38037137601.01406,81108089192.83856,109172372326.62372
11,0.378149310949213,0.4639956276981797,23.1301250128383,28.58262220956066,3.4054953060941475,0.6778818970638472,14168725708.467594,72217263787.76733,110149952803.33057
12,0.21309699774883997,0.15443871869881529,22.306361804168198,26.190033519863626,4.593705308768749,0.7646053065574796,19186062699.120052,80701833972.48007,117223730066.22925
13,0.4886031244638481,0.3391574337175921,25.848108948771984,26.283653247670866,3.596369896246193,0.16949428729810634,8943329196.397827,57727268172.78868,111286287569.7804
